rp,direction,ground_motion,story_1,story_2,story_3,story_4,story_5,story_6,story_7,story_8,story_9,story_10,story_11,story_12,story_13,story_14,story_15,story_16,story_17,story_18,story_19,story_20
43,1,36,0.000184096,0.000305419,0.000368449,0.000417092,0.000462827,0.000489722,0.00050312,0.000505526,0.000504971,0.000533794,0.00056569,0.000650226,0.000762718,0.000838851,0.000899077,0.00094231,0.000973155,0.000990365,0.000996639,0.000993669
43,1,37,8.51921e-05,0.000190024,0.000251092,0.000304146,0.000358895,0.000405571,0.000444407,0.000475952,0.000505432,0.000539067,0.0005753,0.000611654,0.000647461,0.00067767,0.000701803,0.000719945,0.000732037,0.000738034,0.000739783,0.000738284
43,1,38,0.00022774,0.00049008,0.000660465,0.000830302,0.00110162,0.00135147,0.00153124,0.00163558,0.0017756,0.0018592,0.00191944,0.00196564,0.00200888,0.00204379,0.00207031,0.00208906,0.00210093,0.00210626,0.00210765,0.00210608
43,1,39,0.000155601,0.000323229,0.000417819,0.000481528,0.00054388,0.000580077,0.000599463,0.00061201,0.000616429,0.000644961,0.000739543,0.000817285,0.000910337,0.000994245,0.00106003,0.00111013,0.00114487,0.00116338,0.00116968,0.00116616
43,1,40,0.000161665,0.000322641,0.000451808,0.000561814,0.000629998,0.000679446,0.000742542,0.000799852,0.000854687,0.000933757,0.00103866,0.0011226,0.0012043,0.00127101,0.00132171,0.00136003,0.00138555,0.00139837,0.00140233,0.00139936
43,1,41,0.000207016,0.000429701,0.000603646,0.000677781,0.000773075,0.000912813,0.00100496,0.00109982,0.00120934,0.00130527,0.00138453,0.00144393,0.00150812,0.00154593,0.00156888,0.00161889,0.00165923,0.00168046,0.00168866,0.00168467
43,1,42,0.000191802,0.000523864,0.000721564,0.000960434,0.00129137,0.00155801,0.00181112,0.00200094,0.00221058,0.00231756,0.00241192,0.00248278,0.00254147,0.00259003,0.00262171,0.00264912,0.00266344,0.00267025,0.00267192,0.00266991
43,1,43,0.000202531,0.000397525,0.000478927,0.000528779,0.0005814,0.000633428,0.000682176,0.000725909,0.000784037,0.00084806,0.000947793,0.00102377,0.00109406,0.00115991,0.00121732,0.00125501,0.00127849,0.001289,0.00129143,0.00128825
43,1,44,0.000135418,0.000343119,0.000340485,0.000381702,0.000418231,0.000432327,0.000447683,0.000432778,0.000439496,0.00061328,0.000709494,0.000794544,0.000889779,0.000970299,0.00102947,0.00107173,0.00110011,0.00111398,0.00111819,0.00111482
43,2,1,0.000188986,0.000401671,0.000571469,0.000716132,0.000904798,0.00107195,0.00120397,0.00130639,0.00140848,0.0014843,0.00154131,0.00158416,0.00162529,0.00165544,0.00168054,0.00169979,0.00171304,0.00171947,0.00172126,0.00171937
43,2,2,0.000195323,0.000381681,0.000548403,0.000752472,0.000911608,0.00104817,0.00116739,0.00127612,0.00143354,0.00158082,0.00171034,0.00181117,0.00190545,0.00197884,0.00203359,0.00207405,0.00210126,0.00211495,0.00211918,0.00211602
43,2,3,0.000323383,0.000554908,0.000817491,0.000997907,0.00130104,0.00160965,0.00173333,0.00185443,0.00197638,0.00208609,0.00216746,0.00223553,0.00229908,0.00234194,0.002372,0.00239387,0.00240814,0.00241463,0.00241618,0.0024142
43,2,4,0.000108691,0.000273645,0.000420271,0.000575245,0.000718595,0.000823869,0.000963843,0.00105061,0.00111701,0.00118145,0.0012721,0.00132344,0.00137106,0.00140727,0.00143611,0.00145493,0.00146678,0.00147211,0.00147345,0.00147182
43,2,5,0.000251234,0.000550846,0.000636785,0.000726681,0.000840915,0.000988151,0.00109151,0.00117696,0.00124874,0.0013454,0.0014127,0.00145708,0.00150176,0.00153432,0.00156529,0.00159217,0.00161128,0.00162127,0.00162428,0.00162185
43,2,6,0.000201443,0.00040873,0.000615964,0.000735986,0.000913964,0.00104658,0.00118534,0.00133004,0.00144928,0.00153919,0.00159829,0.0016457,0.00181207,0.00180363,0.00182793,0.00184684,0.00185874,0.00186406,0.00186525,0.00186355
43,2,7,0.000148101,0.000344824,0.000503693,0.000587119,0.000693366,0.000810209,0.000887478,0.00100587,0.00110634,0.00118387,0.00124846,0.00130376,0.00135633,0.00139653,0.00142851,0.00145205,0.00146732,0.00147707,0.00148026,0.00147793
43,2,8,0.000289932,0.000573098,0.00079362,0.000949368,0.00121788,0.00144822,0.00160391,0.00186001,0.00210382,0.00233442,0.00251228,0.00265709,0.00274288,0.00280652,0.00285349,0.00288872,0.00291282,0.00292549,0.00292971,0.00292694
43,2,9,0.000191477,0.000481471,0.000644414,0.000819156,0.00102355,0.00131307,0.00163276,0.00179366,0.00192035,0.00202313,0.0020936,0.00214827,0.00231596,0.00253737,0.00250382,0.0024959,0.00250992,0.00251625,0.00251772,0.00251575
43,2,10,0.000426804,0.000757416,0.00117325,0.00145918,0.00178149,0.00219726,0.00249823,0.0026579,0.00287806,0.00301504,0.00312555,0.00319886,0.00327194,0.00333162,0.00336459,0.00338901,0.00341509,0.00341947,0.00342103,0.00341877
43,2,11,0.000244422,0.000557174,0.000748641,0.000874559,0.00113694,0.0012873,0.00159513,0.00175176,0.00189526,0.00202433,0.0020839,0.00214046,0.00219551,0.00223577,0.00226914,0.00229985,0.00232293,0.00233527,0.00233928,0.00233644
43,2,12,0.000222422,0.00045819,0.000566341,0.000620716,0.000726234,0.000747249,0.000781714,0.000833876,0.00096395,0.00095051,0.000988439,0.00102003,0.00120175,0.00125549,0.00142183,0.00151492,0.00155587,0.00157526,0.00158256,0.00157914
43,2,13,0.000341081,0.000541858,0.000645393,0.000814694,0.000966982,0.00109612,0.00121442,0.00130869,0.00150494,0.00156912,0.00166563,0.00169429,0.00176742,0.00182821,0.00191026,0.00200416,0.00207405,0.00203215,0.00203558,0.00203321
43,2,14,0.000367027,0.000729284,0.000802126,0.000891677,0.00104408,0.00103792,0.00106494,0.00109001,0.00118887,0.0013385,0.00150453,0.0022039,0.00220122,0.00236894,0.00236725,0.00240681,0.00244669,0.00245809,0.00246263,0.00245938
43,2,15,8.83415e-05,0.000188805,0.000261976,0.000324679,0.000390783,0.000459839,0.000529133,0.000589899,0.000652762,0.000706101,0.000751491,0.000789115,0.000824161,0.000851721,0.000872244,0.000886697,0.000895823,0.000899975,0.000901072,0.000899761
43,2,16,0.000212009,0.000408578,0.000547005,0.00065911,0.000942498,0.00094042,0.00103006,0.00109967,0.00118224,0.00126189,0.00131105,0.0013467,0.0014183,0.00153799,0.00157852,0.00160979,0.00163043,0.00164045,0.00164337,0.00164089
43,2,17,0.000187305,0.000424811,0.000611573,0.000759712,0.00108295,0.00144947,0.00162089,0.00179482,0.00189415,0.00197578,0.00206073,0.0021914,0.00219334,0.00221895,0.00224044,0.0022554,0.00226464,0.00226865,0.00226946,0.00226804
43,2,18,0.000313372,0.000751687,0.000866136,0.00105749,0.0012733,0.0015727,0.0017276,0.00190389,0.00203101,0.00215423,0.00225111,0.00232271,0.00238727,0.00243476,0.00247046,0.00249716,0.00252164,0.00253368,0.00253718,0.00253419
43,2,19,5.25388e-05,0.000110451,0.000158283,0.00019968,0.000242395,0.000277984,0.000306179,0.00032724,0.000344377,0.000380001,0.000417578,0.000451378,0.000484698,0.000513172,0.00053666,0.000555637,0.000569632,0.000577361,0.00058003,0.000578428
43,2,20,0.000180535,0.000354721,0.000504731,0.000587219,0.000708652,0.000814781,0.000905589,0.000958238,0.00101184,0.00108253,0.00113157,0.00117365,0.00121433,0.00124747,0.00127165,0.00128661,0.00129704,0.00130377,0.00130663,0.00130536
43,2,21,0.000236595,0.000456182,0.000636917,0.000754461,0.000940088,0.00105971,0.00120808,0.00133004,0.00153889,0.00168319,0.00180084,0.00191449,0.00199475,0.00205161,0.00209532,0.00212792,0.00214902,0.00215918,0.00216221,0.00215975
43,2,22,0.000152619,0.000248985,0.000315751,0.000374281,0.000476579,0.000550514,0.000617566,0.000689464,0.000734973,0.00077895,0.000814541,0.000847617,0.000887429,0.000920608,0.000946586,0.000965646,0.000978053,0.000984018,0.000985657,0.000984076
43,2,23,0.000159086,0.000229077,0.000311747,0.000378383,0.000458245,0.000526566,0.000582062,0.000631503,0.000682685,0.000749301,0.000842936,0.000856629,0.00127594,0.00103623,0.00112005,0.00109031,0.00110278,0.00110899,0.00111084,0.00110934
43,2,24,0.000168129,0.00034702,0.000411988,0.000462131,0.000634954,0.000681752,0.000770597,0.000839808,0.000899552,0.000955459,0.00100995,0.00107823,0.00124047,0.00148263,0.00145427,0.00163406,0.00172566,0.00167153,0.00167744,0.00167385
43,2,25,0.000389431,0.000855638,0.000896076,0.00108822,0.00117348,0.00114292,0.00115016,0.00115136,0.00136754,0.00148384,0.00170229,0.00199244,0.00230512,0.00246425,0.00256869,0.00262941,0.00266906,0.00269029,0.00269744,0.00269332
43,2,26,0.000216586,0.000410349,0.000362358,0.000395298,0.00043874,0.000500256,0.000588156,0.000713159,0.000801355,0.000882182,0.00094834,0.00100338,0.001211,0.00133034,0.00136597,0.00139767,0.00148874,0.00144402,0.00144793,0.00144519
43,2,27,0.000136948,0.000204962,0.000263185,0.00031619,0.000378309,0.000430415,0.000474351,0.000513124,0.000553257,0.00058858,0.000619912,0.000653875,0.000794728,0.000765951,0.000863221,0.000877909,0.000896088,0.000903731,0.000906328,0.000904522
43,2,28,0.000370195,0.000685024,0.000825069,0.00104647,0.00126874,0.00155368,0.0018237,0.00194255,0.00203919,0.00215998,0.00224174,0.0022947,0.00238354,0.00241222,0.0024364,0.0024541,0.00246602,0.00247175,0.00247316,0.00247132
43,2,29,0.000356146,0.000482983,0.000503533,0.000553716,0.000616987,0.000641463,0.000667472,0.000712996,0.000797195,0.000857886,0.00090618,0.000942735,0.00112512,0.00113356,0.00121939,0.00125752,0.00128573,0.00130109,0.00130651,0.00130372
43,2,30,0.000532864,0.00115936,0.00141053,0.00180118,0.00223951,0.0026342,0.0030889,0.00355352,0.00361593,0.00377305,0.00394565,0.00402274,0.00414917,0.00420119,0.00423333,0.0042549,0.00426945,0.00427561,0.00427687,0.00427471
43,2,31,0.000235519,0.000412091,0.000468245,0.000530751,0.00063434,0.000685038,0.000773332,0.000857312,0.000936619,0.00104857,0.00114355,0.00118907,0.00122639,0.00125797,0.00128309,0.0013023,0.0013153,0.00132212,0.00132457,0.00132322
43,2,32,0.000188879,0.00045439,0.000657604,0.000831684,0.00115312,0.00133202,0.00149821,0.00162215,0.001747,0.00186526,0.00198394,0.0020371,0.00208586,0.00212486,0.00215439,0.00217505,0.00218774,0.00219343,0.00219535,0.00219383
43,2,33,0.00029394,0.000399299,0.000465667,0.000515305,0.00060018,0.000627292,0.000660431,0.000718984,0.00085026,0.000990105,0.0010763,0.00111973,0.00131468,0.0013692,0.00135093,0.00138665,0.00141038,0.00142237,0.00142603,0.00142321
43,2,34,0.000323205,0.00056357,0.000601277,0.000667661,0.000848551,0.000913399,0.00102469,0.00138766,0.00135834,0.00156497,0.00162018,0.00168289,0.00175608,0.00181299,0.00185626,0.00188917,0.00191181,0.00192332,0.00192785,0.00192508
43,2,35,0.000209611,0.000364433,0.000489455,0.000570886,0.000689426,0.000734824,0.000770388,0.000791339,0.000855542,0.0010917,0.0011719,0.00124878,0.00133146,0.0013987,0.0014497,0.00148736,0.00151315,0.00152725,0.001533,0.00153019
43,2,36,0.000184096,0.000305419,0.000368449,0.000417092,0.000462827,0.000489722,0.00050312,0.000505526,0.000504971,0.000533794,0.00056569,0.000650226,0.000762718,0.000838851,0.000899077,0.00094231,0.000973155,0.000990365,0.000996639,0.000993669
43,2,37,8.51921e-05,0.000190024,0.000251092,0.000304146,0.000358895,0.000405571,0.000444407,0.000475952,0.000505432,0.000539067,0.0005753,0.000611654,0.000647461,0.00067767,0.000701803,0.000719945,0.000732037,0.000738034,0.000739783,0.000738284
43,2,38,0.00022774,0.00049008,0.000660465,0.000830302,0.00110162,0.00135147,0.00153124,0.00163558,0.0017756,0.0018592,0.00191944,0.00196564,0.00200888,0.00204379,0.00207031,0.00208906,0.00210093,0.00210626,0.00210765,0.00210608
43,2,39,0.000155601,0.000323229,0.000417819,0.000481528,0.00054388,0.000580077,0.000599463,0.00061201,0.000616429,0.000644961,0.000739543,0.000817285,0.000910337,0.000994245,0.00106003,0.00111013,0.00114487,0.00116338,0.00116968,0.00116616
43,2,40,0.000161665,0.000322641,0.000451808,0.000561814,0.000629998,0.000679446,0.000742542,0.000799852,0.000854687,0.000933757,0.00103866,0.0011226,0.0012043,0.00127101,0.00132171,0.00136003,0.00138555,0.00139837,0.00140233,0.00139936
43,2,41,0.000207016,0.000429701,0.000603646,0.000677781,0.000773075,0.000912813,0.00100496,0.00109982,0.00120934,0.00130527,0.00138453,0.00144393,0.00150812,0.00154593,0.00156888,0.00161889,0.00165923,0.00168046,0.00168866,0.00168467
43,2,42,0.000191802,0.000523864,0.000721564,0.000960434,0.00129137,0.00155801,0.00181112,0.00200094,0.00221058,0.00231756,0.00241192,0.00248278,0.00254147,0.00259003,0.00262171,0.00264912,0.00266344,0.00267025,0.00267192,0.00266991
43,2,43,0.000202531,0.000397525,0.000478927,0.000528779,0.0005814,0.000633428,0.000682176,0.000725909,0.000784037,0.00084806,0.000947793,0.00102377,0.00109406,0.00115991,0.00121732,0.00125501,0.00127849,0.001289,0.00129143,0.00128825
43,2,44,0.000135418,0.000343119,0.000340485,0.000381702,0.000418231,0.000432327,0.000447683,0.000432778,0.000439496,0.00061328,0.000709494,0.000794544,0.000889779,0.000970299,0.00102947,0.00107173,0.00110011,0.00111398,0.00111819,0.00111482
72,1,1,0.000256072,0.00044311,0.000597657,0.000722215,0.000890478,0.00102548,0.00113895,0.00122783,0.00132164,0.00140048,0.00145601,0.00149601,0.00153592,0.00156042,0.0015815,0.0016056,0.00162602,0.00163715,0.00164088,0.00163826
72,1,2,0.000194859,0.000395236,0.000597347,0.000767912,0.000924821,0.00109455,0.00125756,0.00141111,0.0015804,0.00173854,0.00187411,0.00197578,0.00208026,0.00216096,0.00222138,0.00226119,0.00228818,0.00230128,0.00230511,0.00230186
72,1,3,0.000494097,0.000808815,0.00105282,0.00128623,0.00165557,0.00223862,0.00228968,0.0024822,0.00262876,0.00276758,0.00290971,0.00302146,0.00317459,0.00324588,0.00330426,0.00334079,0.0033649,0.00337785,0.00338144,0.00337823
72,1,4,0.000188349,0.000589196,0.000601797,0.000683759,0.00078508,0.00080684,0.000876265,0.000925893,0.000983847,0.00105328,0.0011808,0.00129372,0.00162341,0.00161266,0.00167455,0.00172891,0.00176927,0.00179091,0.00179904,0.00179524
72,1,5,0.00041942,0.000791749,0.00101754,0.00117408,0.00134482,0.0015464,0.00172409,0.00183853,0.00204815,0.00211593,0.0021683,0.00224524,0.00231832,0.00237592,0.00242054,0.00244426,0.00246454,0.00247282,0.00247491,0.00247254
72,1,6,0.000283058,0.000593858,0.00081175,0.000962006,0.00117275,0.00135094,0.00150236,0.00168457,0.00176943,0.00187785,0.00195116,0.00201535,0.00209952,0.00215489,0.00219241,0.00221569,0.00223011,0.00223665,0.0022382,0.00223617
72,1,7,0.000248048,0.000487083,0.000632522,0.000804365,0.000970915,0.00111506,0.00128628,0.00144064,0.00159848,0.00170238,0.00178569,0.00185313,0.0019198,0.00196489,0.00199911,0.00202424,0.00204022,0.00204779,0.00204981,0.00204772
72,1,8,0.000565817,0.00105539,0.00159154,0.00147748,0.00161571,0.00194805,0.0021441,0.00232574,0.00253867,0.0028424,0.00295379,0.00307193,0.00381677,0.00414144,0.00399721,0.00389879,0.00393646,0.0039552,0.00396099,0.00395668
72,1,9,0.000479921,0.000862233,0.00102058,0.00117605,0.0013967,0.00153137,0.0016032,0.00193042,0.00209196,0.00225801,0.00237075,0.00249413,0.00259048,0.00265791,0.00276378,0.00292154,0.00295274,0.00296909,0.00297486,0.00297096
72,1,10,0.000417754,0.00108042,0.00141855,0.00174893,0.0022189,0.0025293,0.00283371,0.00318139,0.00338385,0.00369326,0.00381995,0.00392319,0.00410085,0.0041129,0.00415275,0.00418165,0.0042014,0.00421053,0.00421281,0.00421011
72,1,11,0.000369652,0.00078617,0.00109664,0.00133333,0.00181585,0.00196574,0.00218343,0.00235501,0.00269933,0.00281205,0.00297008,0.00305781,0.00315106,0.00321539,0.00326482,0.00329112,0.00356395,0.00343002,0.00343274,0.00342998
72,1,12,0.000280541,0.000665464,0.00065972,0.000750472,0.000838686,0.000893263,0.000934181,0.000998827,0.00116909,0.0013418,0.0015455,0.00154557,0.00169218,0.00180377,0.00190725,0.00196324,0.00207339,0.00207327,0.00208164,0.0020776
72,1,13,0.000613567,0.00131425,0.0012514,0.00162626,0.0017496,0.00185681,0.0019783,0.002027,0.00274724,0.00240024,0.00275172,0.00314655,0.00335409,0.00376815,0.00409361,0.00475256,0.00582896,0.00541974,0.00516414,0.00515921
72,1,14,0.000440841,0.00111351,0.00107809,0.00135783,0.00164125,0.0018052,0.00191715,0.00204468,0.00213239,0.00215768,0.00220841,0.0025149,0.00278454,0.00346731,0.00393841,0.00399099,0.00403362,0.00405515,0.00406201,0.00405755
72,1,15,0.000260695,0.000438177,0.000638042,0.000729468,0.000921508,0.00100566,0.0010992,0.0011825,0.00133063,0.0014192,0.00147937,0.00151896,0.00155102,0.00158551,0.00161446,0.00164582,0.00166576,0.00167582,0.00167886,0.0016763
72,1,16,0.000257967,0.000566597,0.000682963,0.000821208,0.000995236,0.00114102,0.00126764,0.00136842,0.00151335,0.00163948,0.00170124,0.00174855,0.00184826,0.00190809,0.00196311,0.00199683,0.00201893,0.00203019,0.00203376,0.00203126
72,1,17,0.00037419,0.000831288,0.0012244,0.00152932,0.00183142,0.00256325,0.00269561,0.00309931,0.00320104,0.00334788,0.00344629,0.00351675,0.0036412,0.00368922,0.00372022,0.0037464,0.00376333,0.00377118,0.0037731,0.00377077
72,1,18,0.00033476,0.000713668,0.00104764,0.00143953,0.0017162,0.00200368,0.00217024,0.00238564,0.00260824,0.00275504,0.00288647,0.00297716,0.00306451,0.00311507,0.0031506,0.00317795,0.00319611,0.00320485,0.00320718,0.00320476
72,1,19,0.000106821,0.00018275,0.000242129,0.000293111,0.000345262,0.000388113,0.000422121,0.000447699,0.000489135,0.000538232,0.000583317,0.000623715,0.000664074,0.000699747,0.000732282,0.00076101,0.000782345,0.000794212,0.000798472,0.000796349
72,1,20,0.000260996,0.000510131,0.000664157,0.000829463,0.00103876,0.00121144,0.00130494,0.00140452,0.00153781,0.00164205,0.00171368,0.00177085,0.00182413,0.00186754,0.00190111,0.00192578,0.00194182,0.0019495,0.00195159,0.00194953
72,1,21,0.000248629,0.000523578,0.000678572,0.000813686,0.00118323,0.00154159,0.0016599,0.00176409,0.00190573,0.00200242,0.00220334,0.00221464,0.00226964,0.00230667,0.00233033,0.00234636,0.00235609,0.00236018,0.0023609,0.0023594
